id,Trial_Number,Fairness_score,PlayerProposedAmount,OpponentProposedAmount,Gender,StimulusCentre,StakeImg,Stimuli_OnsetTime,Stimuli_RTTime,Stimuli_RT,Stimuli_RESP,AcceptOffer
115105,1,4,4,16,m,Eric.jpg,pieFS4.bmp,423599,427751,4152,p,0
115105,2,5,1,9,m,John.jpg,pieFS5.bmp,435421,438869,3448,p,0
115105,3,2,3,4,m,Michael.jpg,pieFS2.bmp,446523,450662,4139,q,1
115105,4,3,5,11,m,Stephan.jpg,pieFS3.bmp,458312,463336,5024,q,1
115105,5,3,5,11,f,Liz.jpg,pieFS3.bmp,471003,473856,2853,p,0
115105,6,1,9,9,m,Frank.jpg,pieFS1.bmp,481504,484599,3095,q,1
115105,7,5,1,9,m,James.jpg,pieFS5.bmp,492238,495412,3174,p,0
115105,8,3,6,14,m,David.jpg,pieFS3.bmp,503040,505785,2745,q,1
115105,9,3,3,7,m,Kevin.jpg,pieFS3.bmp,513440,516078,2638,q,1
115105,10,5,2,18,m,Tom.jpg,pieFS5.bmp,523724,525659,1935,p,0
115105,11,3,2,4,f,Mary.jpg,pieFS3.bmp,533305,536365,3060,q,1
115105,12,4,4,16,f,Silvia.jpg,pieFS4.bmp,544006,546190,2184,p,0
115105,13,2,5,7,m,Paul.jpg,pieFS2.bmp,553838,555972,2134,q,1
115105,14,4,1,4,f,Michelle.jpg,pieFS4.bmp,563637,567282,3645,p,0
115105,15,4,3,12,f,Anita.jpg,pieFS4.bmp,574923,577445,2522,p,0
115105,16,5,2,18,m,Richard.jpg,pieFS5.bmp,585089,587607,2518,p,0
115105,17,5,2,18,f,Jessica.jpg,pieFS5.bmp,595256,597151,1895,p,0
115105,18,5,2,18,f,Anna.jpg,pieFS5.bmp,604787,606638,1851,p,0
115105,19,2,5,7,f,Christina.jpg,pieFS2.bmp,614284,616439,2155,q,1
115105,20,4,3,12,m,Robert.jpg,pieFS4.bmp,624083,627880,3797,p,0
115105,21,5,1,9,f,Sandra.jpg,pieFS5.bmp,635536,636936,1400,p,0
115105,22,1,8,8,f,Susan.jpg,pieFS1.bmp,644582,647193,2611,q,1
115105,23,4,1,4,m,Chris.jpg,pieFS4.bmp,654866,657823,2957,p,0
115105,24,4,2,8,f,Jane.jpg,pieFS4.bmp,665467,667686,2219,p,0
115105,25,3,4,9,f,Laura.jpg,pieFS3.bmp,675349,677224,1875,q,1
115105,26,3,1,2,f,Becky.jpg,pieFS3.bmp,684880,687349,2469,q,1
115251,1,3,4,9,f,Anita.jpg,pieFS3.bmp,352982,360638,7656,q,1
115251,2,3,1,2,f,Christina.jpg,pieFS3.bmp,368348,376238,7890,p,0
115251,3,3,3,7,m,Frank.jpg,pieFS3.bmp,383931,387038,3107,q,1
115251,4,3,5,11,f,Jessica.jpg,pieFS3.bmp,394752,397518,2766,q,1
115251,5,2,5,7,f,Becky.jpg,pieFS2.bmp,405224,408098,2874,q,1
115251,6,4,1,4,f,Liz.jpg,pieFS4.bmp,415812,418598,2786,q,1
115251,7,5,2,18,f,Laura.jpg,pieFS5.bmp,426316,428778,2462,q,1
115251,8,3,6,14,m,Michael.jpg,pieFS3.bmp,436488,443698,7210,p,0
115251,9,2,5,7,m,Paul.jpg,pieFS2.bmp,451405,453278,1873,q,1
115251,10,3,2,4,f,Mary.jpg,pieFS3.bmp,460994,463278,2284,q,1
115251,11,1,8,8,f,Susan.jpg,pieFS1.bmp,470983,472618,1635,q,1
115251,12,5,2,18,f,Silvia.jpg,pieFS5.bmp,480322,483638,3316,p,0
115251,13,5,1,9,m,James.jpg,pieFS5.bmp,491343,492738,1395,q,1
115251,14,3,5,11,m,Kevin.jpg,pieFS3.bmp,500450,502618,2168,q,1
115251,15,2,3,4,m,David.jpg,pieFS2.bmp,510339,512098,1759,q,1
115251,16,5,2,18,m,Tom.jpg,pieFS5.bmp,519811,522918,3107,p,0
115251,17,1,9,9,m,Richard.jpg,pieFS1.bmp,530632,531878,1246,q,1
115251,18,4,3,12,m,John.jpg,pieFS4.bmp,539589,543338,3749,p,0
115251,19,5,2,18,m,Chris.jpg,pieFS5.bmp,551043,553038,1995,p,0
115251,20,4,1,4,m,Robert.jpg,pieFS4.bmp,560749,562918,2169,p,0
115251,21,4,4,16,f,Anna.jpg,pieFS4.bmp,570637,573298,2661,q,1
115251,22,5,1,9,m,Stephan.jpg,pieFS5.bmp,581009,582918,1909,p,0
115251,23,4,3,12,f,Sandra.jpg,pieFS4.bmp,590615,593678,3063,p,0
115251,24,4,4,16,m,Eric.jpg,pieFS4.bmp,601386,603658,2272,q,1
115251,25,5,1,9,f,Michelle.jpg,pieFS5.bmp,611375,613918,2543,p,0
115251,26,4,2,8,f,Jane.jpg,pieFS4.bmp,621630,625438,3808,q,1
115300,1,5,2,18,f,Anna.jpg,pieFS5.bmp,924963,1357106,432143,p,0
115300,2,4,3,12,m,Robert.jpg,pieFS4.bmp,1364752,1373171,8419,p,0
115300,3,3,2,4,f,Anita.jpg,pieFS3.bmp,1380817,1387931,7114,p,0
115300,4,3,5,11,m,James.jpg,pieFS3.bmp,1395567,1399931,4364,p,0
115300,5,2,3,4,m,Richard.jpg,pieFS2.bmp,1407570,1411931,4361,q,1
115300,6,3,6,14,m,Eric.jpg,pieFS3.bmp,1419573,1423091,3518,q,1
115300,7,3,4,9,f,Jessica.jpg,pieFS3.bmp,1430728,1437591,6863,q,1
115300,8,4,3,12,f,Susan.jpg,pieFS4.bmp,1445228,1448351,3123,p,0
115300,9,3,3,7,m,Kevin.jpg,pieFS3.bmp,1455982,1459591,3609,p,0
115300,10,1,8,8,f,Silvia.jpg,pieFS1.bmp,1467220,1472851,5631,q,1
115300,11,4,4,16,f,Laura.jpg,pieFS4.bmp,1480488,1483271,2783,p,0
115300,12,5,2,18,m,David.jpg,pieFS5.bmp,1490910,1494171,3261,p,0
115300,13,3,1,2,f,Christina.jpg,pieFS3.bmp,1501798,1505971,4173,q,1
115300,14,1,9,9,m,Michael.jpg,pieFS1.bmp,1513601,1515651,2050,q,1
115300,15,4,1,4,m,Tom.jpg,pieFS4.bmp,1523290,1526412,3122,p,0
115300,16,5,1,9,f,Becky.jpg,pieFS5.bmp,1534045,1536412,2367,p,0
115300,17,5,1,9,m,Paul.jpg,pieFS5.bmp,1544050,1547852,3802,p,0
115300,18,4,2,8,f,Liz.jpg,pieFS4.bmp,1555504,1559152,3648,p,0
115300,19,4,4,16,m,John.jpg,pieFS4.bmp,1566791,1569852,3061,p,0
115300,20,5,1,9,m,Chris.jpg,pieFS5.bmp,1577479,1580272,2793,p,0
115300,21,4,1,4,f,Sandra.jpg,pieFS4.bmp,1587901,1591432,3531,p,0
115300,22,5,2,18,m,Stephan.jpg,pieFS5.bmp,1599072,1603252,4180,p,0
115300,23,3,5,11,f,Michelle.jpg,pieFS3.bmp,1610892,1616692,5800,q,1
115300,24,2,5,7,m,Frank.jpg,pieFS2.bmp,1624327,1626712,2385,q,1
115300,25,5,2,18,f,Jane.jpg,pieFS5.bmp,1634349,1636592,2243,p,0
115300,26,2,5,7,f,Mary.jpg,pieFS2.bmp,1644221,1646412,2191,q,1
202200,1,5,2,18,f,Mary.jpg,pieFS5.bmp,514820,519796,4976,q,1
202200,2,4,3,12,f,Susan.jpg,pieFS4.bmp,527444,530239,2795,p,0
202200,3,3,4,9,f,Jane.jpg,pieFS3.bmp,537895,540419,2524,q,1
202200,4,4,2,8,f,Liz.jpg,pieFS4.bmp,548061,550357,2296,p,0
202200,5,3,3,7,m,Paul.jpg,pieFS3.bmp,558027,560426,2399,p,0
202200,6,4,4,16,f,Laura.jpg,pieFS4.bmp,568076,570451,2375,q,1
202200,7,5,2,18,m,Frank.jpg,pieFS5.bmp,578092,580075,1983,p,0
202200,8,4,1,4,f,Christina.jpg,pieFS4.bmp,587723,591456,3733,p,0
202200,9,2,3,4,m,Richard.jpg,pieFS2.bmp,599110,601130,2020,q,1
202200,10,3,5,11,m,Kevin.jpg,pieFS3.bmp,608775,610636,1861,q,1
202200,11,3,2,4,f,Anita.jpg,pieFS3.bmp,618272,620348,2076,q,1
202200,12,5,1,9,m,Robert.jpg,pieFS5.bmp,627987,629811,1824,p,0
202200,13,4,4,16,m,John.jpg,pieFS4.bmp,637434,639378,1944,p,0
202200,14,1,8,8,f,Michelle.jpg,pieFS1.bmp,647032,649147,2115,q,1
202200,15,3,6,14,m,Eric.jpg,pieFS3.bmp,656797,658541,1744,q,1
202200,16,5,2,18,m,David.jpg,pieFS5.bmp,666177,667784,1607,p,0
202200,17,5,1,9,f,Becky.jpg,pieFS5.bmp,675441,676952,1511,p,0
202200,18,2,5,7,m,Tom.jpg,pieFS2.bmp,684604,686472,1868,q,1
202200,19,3,1,2,f,Silvia.jpg,pieFS3.bmp,694135,696334,2199,q,1
202200,20,4,1,4,m,James.jpg,pieFS4.bmp,703983,705638,1655,p,0
202200,21,2,5,7,f,Sandra.jpg,pieFS2.bmp,713263,715482,2219,q,1
202200,22,5,2,18,f,Anna.jpg,pieFS5.bmp,723145,725137,1992,p,0
202200,23,3,5,11,f,Jessica.jpg,pieFS3.bmp,732777,735225,2448,q,1
202200,24,4,3,12,m,Michael.jpg,pieFS4.bmp,742876,745312,2436,p,0
202200,25,5,1,9,m,Stephan.jpg,pieFS5.bmp,752959,754588,1629,p,0
202200,26,1,9,9,m,Chris.jpg,pieFS1.bmp,762239,764437,2198,q,1
203803,1,4,4,16,m,David.jpg,pieFS4.bmp,385044,397352,12308,q,1
203803,2,1,8,8,f,Susan.jpg,pieFS1.bmp,404989,407472,2483,q,1
203803,3,4,4,16,f,Sandra.jpg,pieFS4.bmp,415094,422052,6958,q,1
203803,4,3,3,7,m,Chris.jpg,pieFS3.bmp,429695,432112,2417,q,1
203803,5,4,3,12,m,John.jpg,pieFS4.bmp,439750,444933,5183,p,0
203803,6,2,5,7,f,Christina.jpg,pieFS2.bmp,452586,454573,1987,q,1
203803,7,3,1,2,f,Anna.jpg,pieFS3.bmp,462226,464893,2667,q,1
203803,8,3,6,14,m,Paul.jpg,pieFS3.bmp,472531,477213,4682,q,1
203803,9,4,3,12,f,Silvia.jpg,pieFS4.bmp,484884,488813,3929,p,0
203803,10,5,1,9,m,Frank.jpg,pieFS5.bmp,496471,498914,2443,p,0
203803,11,5,2,18,f,Michelle.jpg,pieFS5.bmp,506560,509654,3094,p,0
203803,12,5,2,18,m,James.jpg,pieFS5.bmp,517281,520634,3353,p,0
203803,13,5,1,9,m,Stephan.jpg,pieFS5.bmp,528302,531194,2892,p,0
203803,14,3,2,4,f,Jane.jpg,pieFS3.bmp,538940,540855,1915,q,1
203803,15,4,1,4,f,Anita.jpg,pieFS4.bmp,548580,551775,3195,q,1
203803,16,3,5,11,m,Richard.jpg,pieFS3.bmp,559468,561875,2407,q,1
203803,17,2,3,4,m,Eric.jpg,pieFS2.bmp,569556,571655,2099,q,1
203803,18,3,4,9,f,Becky.jpg,pieFS3.bmp,579346,581316,1970,q,1
203803,19,2,5,7,m,Kevin.jpg,pieFS2.bmp,589002,590816,1814,q,1
203803,20,5,2,18,m,Tom.jpg,pieFS5.bmp,598508,602496,3988,p,0
203803,21,5,2,18,f,Laura.jpg,pieFS5.bmp,610211,612756,2545,p,0
203803,22,5,1,9,f,Mary.jpg,pieFS5.bmp,620467,624756,4289,p,0
203803,23,1,9,9,m,Michael.jpg,pieFS1.bmp,632487,634676,2189,q,1
203803,24,3,5,11,f,Jessica.jpg,pieFS3.bmp,642426,644297,1871,q,1
203803,25,4,1,4,m,Robert.jpg,pieFS4.bmp,652032,654077,2045,q,1
203803,26,4,2,8,f,Liz.jpg,pieFS4.bmp,661804,664077,2273,q,1
204059,1,4,1,4,m,Michael.jpg,pieFS4.bmp,121445,125135,3690,m,0
204059,2,3,5,11,m,Chris.jpg,pieFS3.bmp,132715,135573,2858,z,1
204059,3,4,1,4,f,Susan.jpg,pieFS4.bmp,143149,145870,2721,m,0
204059,4,5,2,18,f,Liz.jpg,pieFS5.bmp,153449,155761,2312,m,0
204059,5,4,2,8,f,Anita.jpg,pieFS4.bmp,163331,166434,3103,z,1
204059,6,4,4,16,m,Frank.jpg,pieFS4.bmp,174016,176542,2526,z,1
204059,7,5,1,9,m,Eric.jpg,pieFS5.bmp,184115,190621,6506,m,0
204059,8,3,4,9,f,Becky.jpg,pieFS3.bmp,198194,200581,2387,z,1
204059,9,5,2,18,m,John.jpg,pieFS5.bmp,208160,211340,3180,m,0
204059,10,3,6,14,m,Robert.jpg,pieFS3.bmp,218911,221091,2180,z,1
204059,11,5,1,9,m,James.jpg,pieFS5.bmp,228676,230951,2275,m,0
204059,12,3,1,2,f,Michelle.jpg,pieFS3.bmp,238525,240876,2351,z,1
204059,13,4,4,16,f,Laura.jpg,pieFS4.bmp,248457,250955,2498,z,1
204059,14,3,5,11,f,Jane.jpg,pieFS3.bmp,258540,260691,2151,z,1
204059,15,1,8,8,f,Anna.jpg,pieFS1.bmp,268271,271769,3498,z,1
204059,16,5,1,9,f,Sandra.jpg,pieFS5.bmp,279341,282035,2694,m,0
204059,17,2,3,4,m,Paul.jpg,pieFS2.bmp,289607,291832,2225,z,1
204059,18,1,9,9,m,David.jpg,pieFS1.bmp,299406,301614,2208,z,1
204059,19,5,2,18,f,Jessica.jpg,pieFS5.bmp,309188,311261,2073,m,0
204059,20,4,3,12,f,Christina.jpg,pieFS4.bmp,318835,321364,2529,m,0
204059,21,4,3,12,m,Kevin.jpg,pieFS4.bmp,328935,331246,2311,m,0
204059,22,3,2,4,f,Silvia.jpg,pieFS3.bmp,338817,340731,1914,z,1
204059,23,2,5,7,f,Mary.jpg,pieFS2.bmp,348314,350216,1902,z,1
204059,24,5,2,18,m,Richard.jpg,pieFS5.bmp,357795,360201,2406,m,0
204059,25,2,5,7,m,Stephan.jpg,pieFS2.bmp,367778,369748,1970,z,1
204059,26,3,3,7,m,Tom.jpg,pieFS3.bmp,377325,380855,3530,z,1
206270,1,5,2,18,f,Susan.jpg,pieFS5.bmp,188490,193578,5088,q,1
206270,2,4,2,8,f,Michelle.jpg,pieFS4.bmp,201226,202658,1432,q,1
206270,3,3,5,11,f,Anna.jpg,pieFS3.bmp,210282,213059,2777,q,1
206270,4,2,5,7,f,Mary.jpg,pieFS2.bmp,220704,222379,1675,q,1
206270,5,3,3,7,m,Kevin.jpg,pieFS3.bmp,230027,231639,1612,q,1
206270,6,4,4,16,f,Jessica.jpg,pieFS4.bmp,239284,240719,1435,q,1
206270,7,5,2,18,m,Robert.jpg,pieFS5.bmp,248357,251200,2843,q,1
206270,8,4,1,4,m,Frank.jpg,pieFS4.bmp,258846,260060,1214,q,1
206270,9,4,4,16,m,James.jpg,pieFS4.bmp,267686,268680,994,q,1
206270,10,2,5,7,m,Stephan.jpg,pieFS2.bmp,276310,278420,2110,q,1
206270,11,5,1,9,m,Tom.jpg,pieFS5.bmp,286049,288681,2632,q,1
206270,12,5,1,9,f,Anita.jpg,pieFS5.bmp,296304,298161,1857,q,1
206270,13,3,6,14,m,Eric.jpg,pieFS3.bmp,305794,307081,1287,q,1
206270,14,3,5,11,m,Michael.jpg,pieFS3.bmp,314717,315921,1204,q,1
206270,15,1,9,9,m,Richard.jpg,pieFS1.bmp,323591,324802,1211,q,1
206270,16,5,1,9,m,John.jpg,pieFS5.bmp,332431,334222,1791,q,1
206270,17,3,2,4,f,Jane.jpg,pieFS3.bmp,341871,343122,1251,q,1
206270,18,3,4,9,f,Laura.jpg,pieFS3.bmp,350778,352122,1344,q,1
206270,19,4,3,12,m,Paul.jpg,pieFS4.bmp,359768,361083,1315,q,1
206270,20,1,8,8,f,Christina.jpg,pieFS1.bmp,368708,371703,2995,q,1
206270,21,4,1,4,f,Sandra.jpg,pieFS4.bmp,379346,381743,2397,q,1
206270,22,4,3,12,f,Becky.jpg,pieFS4.bmp,389385,392004,2619,q,1
206270,23,2,3,4,m,David.jpg,pieFS2.bmp,399674,402084,2410,q,1
206270,24,3,1,2,f,Silvia.jpg,pieFS3.bmp,409763,411484,1721,q,1
206270,25,5,2,18,f,Liz.jpg,pieFS5.bmp,419169,421864,2695,q,1
206270,26,5,2,18,m,Chris.jpg,pieFS5.bmp,429541,430864,1323,q,1
207224,1,5,1,9,m,Kevin.jpg,pieFS5.bmp,148002,152347,4345,z,1
207224,2,5,1,9,m,Robert.jpg,pieFS5.bmp,159924,161849,1925,z,1
207224,3,1,9,9,m,James.jpg,pieFS1.bmp,169422,171566,2144,z,1
207224,4,2,3,4,m,Richard.jpg,pieFS2.bmp,179137,180734,1597,z,1
207224,5,5,2,18,f,Anita.jpg,pieFS5.bmp,188316,189678,1362,z,1
207224,6,4,4,16,f,Silvia.jpg,pieFS4.bmp,197262,199015,1753,z,1
207224,7,3,3,7,m,Michael.jpg,pieFS3.bmp,206592,210602,4010,z,1
207224,8,4,4,16,m,Eric.jpg,pieFS4.bmp,218180,219222,1042,z,1
207224,9,4,3,12,m,Paul.jpg,pieFS4.bmp,226808,227907,1099,z,1
207224,10,3,4,9,f,Jessica.jpg,pieFS3.bmp,235486,236907,1421,z,1
207224,11,2,5,7,f,Susan.jpg,pieFS2.bmp,244482,245513,1031,z,1
207224,12,4,1,4,f,Sandra.jpg,pieFS4.bmp,253093,254588,1495,z,1
207224,13,5,2,18,m,Tom.jpg,pieFS5.bmp,262172,263287,1115,z,1
207224,14,5,2,18,m,Frank.jpg,pieFS5.bmp,270867,271855,988,z,1
207224,15,3,1,2,f,Anna.jpg,pieFS3.bmp,279428,280682,1254,z,1
207224,16,5,1,9,f,Jane.jpg,pieFS5.bmp,288257,290080,1823,z,1
207224,17,1,8,8,f,Laura.jpg,pieFS1.bmp,297654,298855,1201,z,1
207224,18,5,2,18,f,Michelle.jpg,pieFS5.bmp,306433,307442,1009,z,1
207224,19,3,5,11,f,Mary.jpg,pieFS3.bmp,315027,316048,1021,z,1
207224,20,3,6,14,m,John.jpg,pieFS3.bmp,323622,324579,957,z,1
207224,21,4,1,4,m,David.jpg,pieFS4.bmp,332149,333442,1293,z,1
207224,22,3,2,4,f,Christina.jpg,pieFS3.bmp,341028,342180,1152,z,1
207224,23,3,5,11,m,Stephan.jpg,pieFS3.bmp,349756,350809,1053,z,1
207224,24,4,3,12,f,Becky.jpg,pieFS4.bmp,358384,359321,937,z,1
207224,25,4,2,8,f,Liz.jpg,pieFS4.bmp,366895,367889,994,z,1
207224,26,2,5,7,m,Chris.jpg,pieFS2.bmp,375473,376646,1173,z,1
208427,1,2,5,7,m,Eric.jpg,pieFS2.bmp,438145,443254,5109,q,1
208427,2,2,5,7,f,Liz.jpg,pieFS2.bmp,450897,454714,3817,q,1
208427,3,5,1,9,m,Tom.jpg,pieFS5.bmp,462368,465314,2946,q,1
208427,4,5,2,18,f,Sandra.jpg,pieFS5.bmp,472956,476214,3258,p,0
208427,5,1,9,9,m,Kevin.jpg,pieFS1.bmp,483860,486814,2954,q,1
208427,6,3,5,11,m,Michael.jpg,pieFS3.bmp,494448,497114,2666,q,1
208427,7,4,1,4,f,Jessica.jpg,pieFS4.bmp,504754,507774,3020,p,0
208427,8,4,1,4,m,Richard.jpg,pieFS4.bmp,515425,519674,4249,p,0
208427,9,5,2,18,f,Anna.jpg,pieFS5.bmp,527311,529754,2443,p,0
208427,10,5,2,18,m,Frank.jpg,pieFS5.bmp,537384,539234,1850,p,0
208427,11,2,3,4,m,David.jpg,pieFS2.bmp,547189,549494,2305,q,1
208427,12,4,3,12,f,Laura.jpg,pieFS4.bmp,557128,559774,2646,p,0
208427,13,5,1,9,m,Stephan.jpg,pieFS5.bmp,567416,570734,3318,p,0
208427,14,3,4,9,f,Jane.jpg,pieFS3.bmp,578387,580814,2427,q,1
208427,15,3,6,14,m,Paul.jpg,pieFS3.bmp,588509,591655,3146,q,1
208427,16,5,1,9,f,Becky.jpg,pieFS5.bmp,599364,601474,2110,p,0
208427,17,4,3,12,m,James.jpg,pieFS4.bmp,609186,612574,3388,p,0
208427,18,3,2,4,f,Silvia.jpg,pieFS3.bmp,620274,622695,2421,q,1
208427,19,3,1,2,f,Mary.jpg,pieFS3.bmp,630396,632774,2378,q,1
208427,20,4,2,8,f,Christina.jpg,pieFS4.bmp,640451,642635,2184,p,0
208427,21,1,8,8,f,Michelle.jpg,pieFS1.bmp,650340,655235,4895,q,1
208427,22,4,4,16,m,Chris.jpg,pieFS4.bmp,662909,666735,3826,p,0
208427,23,4,4,16,f,Anita.jpg,pieFS4.bmp,674396,676775,2379,p,0
208427,24,3,3,7,m,Robert.jpg,pieFS3.bmp,684451,687095,2644,q,1
208427,25,5,2,18,m,John.jpg,pieFS5.bmp,694773,696455,1682,p,0
208427,26,3,5,11,f,Susan.jpg,pieFS3.bmp,704146,708155,4009,p,0
208510,1,5,1,9,m,Eric.jpg,pieFS5.bmp,181618,193007,11389,p,0
208510,2,4,3,12,m,David.jpg,pieFS4.bmp,200730,203627,2897,p,0
208510,3,4,3,12,f,Sandra.jpg,pieFS4.bmp,211335,235027,23692,p,0
208510,4,4,1,4,m,Kevin.jpg,pieFS4.bmp,242750,245947,3197,p,0
208510,5,3,5,11,f,Susan.jpg,pieFS3.bmp,253671,256467,2796,p,0
208510,6,3,3,7,m,Richard.jpg,pieFS3.bmp,264176,266868,2692,p,0
208510,7,1,9,9,m,Frank.jpg,pieFS1.bmp,274564,280328,5764,q,1
208510,8,5,2,18,m,Stephan.jpg,pieFS5.bmp,288032,291228,3196,p,0
208510,9,2,3,4,m,Chris.jpg,pieFS2.bmp,298937,301868,2931,p,0
208510,10,2,5,7,m,Tom.jpg,pieFS2.bmp,309575,311848,2273,p,0
208510,11,5,1,9,m,James.jpg,pieFS5.bmp,319564,324068,4504,p,0
208510,12,4,2,8,f,Laura.jpg,pieFS4.bmp,331783,334068,2285,p,0
208510,13,3,2,4,f,Liz.jpg,pieFS3.bmp,341789,344488,2699,p,0
208510,14,5,2,18,f,Anna.jpg,pieFS5.bmp,352194,354789,2595,p,0
208510,15,3,1,2,f,Christina.jpg,pieFS3.bmp,362499,365329,2830,p,0
208510,16,5,1,9,f,Mary.jpg,pieFS5.bmp,373037,375549,2512,p,0
208510,17,3,6,14,m,Paul.jpg,pieFS3.bmp,383243,389769,6526,q,1
208510,18,4,4,16,f,Michelle.jpg,pieFS4.bmp,397477,400989,3512,p,0
208510,19,5,2,18,m,John.jpg,pieFS5.bmp,408697,410889,2192,p,0
208510,20,3,5,11,m,Michael.jpg,pieFS3.bmp,418586,422549,3963,q,1
208510,21,2,5,7,f,Anita.jpg,pieFS2.bmp,430240,434049,3809,q,1
208510,22,3,4,9,f,Jessica.jpg,pieFS3.bmp,441760,444129,2369,p,0
208510,23,4,4,16,m,Robert.jpg,pieFS4.bmp,451833,453330,1497,p,0
208510,24,4,1,4,f,Silvia.jpg,pieFS4.bmp,461039,463070,2031,p,0
208510,25,5,2,18,f,Becky.jpg,pieFS5.bmp,470778,472210,1432,p,0
208510,26,1,8,8,f,Jane.jpg,pieFS1.bmp,479918,483310,3392,q,1
208806,1,5,2,18,f,Becky.jpg,pieFS5.bmp,234194,236919,2725,p,0
208806,2,2,3,4,m,Michael.jpg,pieFS2.bmp,244549,246799,2250,q,1
208806,3,5,1,9,f,Jessica.jpg,pieFS5.bmp,254438,256479,2041,p,0
208806,4,5,2,18,m,Robert.jpg,pieFS5.bmp,264111,265919,1808,p,0
208806,5,3,6,14,m,Frank.jpg,pieFS3.bmp,273550,275079,1529,q,1
208806,6,2,5,7,m,Kevin.jpg,pieFS2.bmp,282706,284520,1814,q,1
208806,7,5,2,18,m,David.jpg,pieFS5.bmp,292146,293940,1794,p,0
208806,8,4,4,16,f,Jane.jpg,pieFS4.bmp,301568,303320,1752,q,1
208806,9,4,4,16,m,Chris.jpg,pieFS4.bmp,310958,312480,1522,q,1
208806,10,4,3,12,f,Anna.jpg,pieFS4.bmp,320114,322520,2406,p,0
208806,11,3,3,7,m,Richard.jpg,pieFS3.bmp,330153,332020,1867,q,1
208806,12,4,2,8,f,Anita.jpg,pieFS4.bmp,339642,341620,1978,q,1
208806,13,3,5,11,f,Susan.jpg,pieFS3.bmp,349248,351220,1972,q,1
208806,14,2,5,7,f,Sandra.jpg,pieFS2.bmp,358837,360380,1543,q,1
208806,15,5,1,9,m,Eric.jpg,pieFS5.bmp,368010,369840,1830,p,0
208806,16,3,5,11,m,Stephan.jpg,pieFS3.bmp,377467,378880,1413,q,1
208806,17,3,2,4,f,Mary.jpg,pieFS3.bmp,386506,388040,1534,q,1
208806,18,4,3,12,m,John.jpg,pieFS4.bmp,395663,396940,1277,q,1
208806,19,4,1,4,f,Christina.jpg,pieFS4.bmp,404569,406880,2311,q,1
208806,20,5,1,9,m,James.jpg,pieFS5.bmp,414508,416420,1912,p,0
208806,21,3,1,2,f,Silvia.jpg,pieFS3.bmp,424047,425660,1613,q,1
208806,22,1,9,9,m,Tom.jpg,pieFS1.bmp,433287,435440,2153,q,1
208806,23,4,1,4,m,Paul.jpg,pieFS4.bmp,443059,444460,1401,q,1
208806,24,3,4,9,f,Liz.jpg,pieFS3.bmp,452083,453460,1377,q,1
208806,25,5,2,18,f,Laura.jpg,pieFS5.bmp,461089,462640,1551,q,1
208806,26,1,8,8,f,Michelle.jpg,pieFS1.bmp,470262,471740,1478,q,1
209452,1,3,5,11,m,Michael.jpg,pieFS3.bmp,144957,150448,5491,q,1
209452,2,4,1,4,f,Jane.jpg,pieFS4.bmp,158076,162948,4872,q,1
209452,3,4,2,8,f,Christina.jpg,pieFS4.bmp,170579,175029,4450,p,0
209452,4,3,4,9,f,Silvia.jpg,pieFS3.bmp,182649,185329,2680,q,1
209452,5,5,2,18,f,Mary.jpg,pieFS5.bmp,192954,201649,8695,q,1
209452,6,3,6,14,m,Paul.jpg,pieFS3.bmp,209269,211809,2540,q,1
209452,7,4,3,12,m,Robert.jpg,pieFS4.bmp,219441,222309,2868,q,1
209452,8,5,1,9,m,David.jpg,pieFS5.bmp,229929,233369,3440,q,1
209452,9,3,2,4,f,Liz.jpg,pieFS3.bmp,241000,244469,3469,q,1
209452,10,2,5,7,m,Frank.jpg,pieFS2.bmp,252088,254309,2221,q,1
209452,11,4,4,16,m,Stephan.jpg,pieFS4.bmp,261927,264529,2602,q,1
209452,12,5,1,9,f,Susan.jpg,pieFS5.bmp,272149,276049,3900,q,1
209452,13,1,8,8,f,Anita.jpg,pieFS1.bmp,283669,286310,2641,q,1
209452,14,1,9,9,m,Kevin.jpg,pieFS1.bmp,293941,296310,2369,q,1
209452,15,4,3,12,f,Sandra.jpg,pieFS4.bmp,303930,312290,8360,p,0
209452,16,4,4,16,f,Jessica.jpg,pieFS4.bmp,319912,325050,5138,p,0
209452,17,3,1,2,f,Laura.jpg,pieFS3.bmp,332681,335050,2369,q,1
209452,18,3,3,7,m,Richard.jpg,pieFS3.bmp,342670,345130,2460,q,1
209452,19,5,2,18,m,Chris.jpg,pieFS5.bmp,352758,358990,6232,q,1
209452,20,3,5,11,f,Becky.jpg,pieFS3.bmp,366610,368631,2021,q,1
209452,21,5,2,18,m,Tom.jpg,pieFS5.bmp,376249,379111,2862,p,0
209452,22,4,1,4,m,John.jpg,pieFS4.bmp,386737,391111,4374,q,1
209452,23,5,1,9,m,James.jpg,pieFS5.bmp,398740,403651,4911,p,0
209452,24,5,2,18,f,Anna.jpg,pieFS5.bmp,411293,414931,3638,p,0
209452,25,2,5,7,f,Michelle.jpg,pieFS2.bmp,422564,424771,2207,q,1
209452,26,2,3,4,m,Eric.jpg,pieFS2.bmp,432403,435331,2928,q,1
209468,1,4,4,16,m,James.jpg,pieFS4.bmp,318173,341972,23799,q,1
209468,2,3,2,4,f,Silvia.jpg,pieFS3.bmp,349705,353932,4227,q,1
